Date,PnL
2015-09-11,73704.03
2015-09-13,73704.03
2015-09-14,74516.03
2015-09-15,74504.02
2015-09-16,74612.85
2015-09-17,74584.04
2015-09-18,74541.79
2015-09-20,74541.79
2015-09-21,74817.23
2015-09-22,74904.31
2015-09-23,75248.17
2015-09-24,74158.55
2015-09-25,74257.81
2015-09-27,74264.55
2015-09-28,74179.47
2015-09-29,75135.51
2015-09-30,75805.08
2015-10-01,75084.63
2015-10-02,74302.58
2015-10-04,74302.58
2015-10-05,74343.17
2015-10-06,73885.82
2015-10-07,74210.32
2015-10-08,74573.36
2015-10-09,74198.82
2015-10-11,74194.00
2015-10-12,74358.82
2015-10-13,74952.79
2015-10-14,74743.67
2015-10-15,75490.23
2015-10-16,75564.35
2015-10-18,75559.96
2015-10-19,75849.90
2015-10-20,75500.37
2015-10-21,75187.13
2015-10-22,76186.25
2015-10-23,76313.90
2015-10-25,76314.63
2015-10-26,76322.56
2015-10-27,76496.00
2015-10-28,76072.70
2015-10-29,75969.43
2015-10-30,75550.94
2015-11-01,75550.94
2015-11-02,75421.14
2015-11-03,75781.01
2015-11-04,76055.31
2015-11-05,76266.31
2015-11-06,76762.97
2015-11-08,76776.68
2015-11-09,76947.93
2015-11-10,77402.39
2015-11-11,77411.40
2015-11-12,77322.36
2015-11-13,77482.51
2015-11-15,77541.82
2015-11-16,77181.62
2015-11-17,77208.63
2015-11-18,76959.19
2015-11-19,76828.26
2015-11-20,76985.70
2015-11-22,76952.20
2015-11-23,76796.30
2015-11-24,76778.61
2015-11-25,77126.21
2015-11-26,76992.64
2015-11-27,76969.84
2015-11-29,76939.95
2015-11-30,77464.52
2015-12-01,77476.75
2015-12-02,78077.88
2015-12-03,76450.97
2015-12-04,76830.70
2015-12-06,76840.39
2015-12-07,76569.98
2015-12-08,76744.67
2015-12-09,76509.40
2015-12-10,76850.09
2015-12-11,76323.76
2015-12-13,76242.28
2015-12-14,75829.15
2015-12-15,76018.44
2015-12-16,75918.96
2015-12-17,75808.44
2015-12-18,76131.82
2015-12-20,76163.14
2015-12-21,75899.92
2015-12-22,75417.57
2015-12-23,75735.86
2015-12-24,75578.83
2015-12-27,75564.94
2015-12-28,75494.42
2015-12-29,76181.72
2015-12-30,76327.88
2015-12-31,76401.11
2016-01-03,76376.51
2016-01-04,77016.47
2016-01-05,77341.61
2016-01-06,77330.94
2016-01-07,77884.15
2016-01-08,77043.50
2016-01-10,77061.44
2016-01-11,77500.99
2016-01-12,78204.68
2016-01-13,77923.93
2016-01-14,78349.15
2016-01-15,77762.99
2016-01-17,77678.67
2016-01-18,77630.85
2016-01-19,78241.62
2016-01-20,78416.70
2016-01-21,79683.94
2016-01-22,79201.78
2016-01-24,79120.95
2016-01-25,78774.18
2016-01-26,79179.84
2016-01-27,79365.43
2016-01-28,78964.70
2016-01-29,79254.07
2016-01-31,79270.05
2016-02-01,79399.48
2016-02-02,79401.71
2016-02-03,79188.22
2016-02-04,79004.67
2016-02-05,79075.11
2016-02-07,79085.13
2016-02-08,78930.00
2016-02-09,78745.50
2016-02-10,79943.96
2016-02-11,79329.34
2016-02-12,79740.09
2016-02-14,79706.86
2016-02-15,79933.47
2016-02-16,79669.39
2016-02-17,80591.64
2016-02-18,80600.14
2016-02-19,80928.45
2016-02-21,80801.58
2016-02-22,81303.96
2016-02-23,81254.29
2016-02-24,81399.83
2016-02-25,81605.23
2016-02-26,82023.33
2016-02-28,82010.04
2016-02-29,82595.60
2016-03-01,82931.04
2016-03-02,83325.31
2016-03-03,83260.61
2016-03-04,82796.10
2016-03-06,82795.66
2016-03-07,83188.63
2016-03-08,82705.55
2016-03-09,83231.73
2016-03-10,82454.15
2016-03-11,82767.27
2016-03-13,82713.69
2016-03-14,82511.11
2016-03-15,82580.71
2016-03-16,83269.18
2016-03-17,82840.41
2016-03-18,82519.62
2016-03-20,82519.62
2016-03-21,82531.00
2016-03-22,82812.09
2016-03-23,82794.24
2016-03-24,83042.72
2016-03-25,83030.07
2016-03-27,83030.07
2016-03-28,82897.37
2016-03-29,83413.36
2016-03-30,83313.05
2016-03-31,83019.03
2016-04-01,83411.79
2016-04-03,83414.40
2016-04-04,83351.13
2016-04-05,83433.70
2016-04-06,83443.63
2016-04-07,83314.42
2016-04-08,83325.60
2016-04-10,83325.60
2016-04-11,83227.47
2016-04-12,83322.02
2016-04-13,83494.71
2016-04-14,83882.61
2016-04-15,83751.12
2016-04-17,83751.08
2016-04-18,83845.23
2016-04-19,83399.45
2016-04-20,83478.60
2016-04-21,83093.47
2016-04-22,83028.79
2016-04-24,83035.55
2016-04-25,83011.47
2016-04-26,82515.94
2016-04-27,82374.04
2016-04-28,83235.70
2016-04-29,82757.65
2016-05-01,82756.47
2016-05-02,82503.43
2016-05-03,81792.18
2016-05-04,81680.37
2016-05-05,82094.14
2016-05-06,81807.82
2016-05-08,81808.93
2016-05-09,81572.05
2016-05-10,81333.58
2016-05-11,81215.31
2016-05-12,81074.01
2016-05-13,81528.30
2016-05-15,81527.08
2016-05-16,81421.28
2016-05-17,81205.21
2016-05-18,81048.23
2016-05-19,81064.53
2016-05-20,81036.76
2016-05-22,81036.09
2016-05-23,81047.71
